00:07:22.651 [restartedMain] INFO  c.h.s.i.o.c.ClassicOperationExecutor - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Starting with 2 generic operation threads and 4 partition operation threads.
00:07:26.219 [restartedMain] INFO  com.hazelcast.instance.Node - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Creating MulticastJoiner
00:07:26.232 [restartedMain] INFO  com.hazelcast.core.LifecycleService - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Address[192.168.137.32]:5701 is STARTING
00:07:26.673 [restartedMain] INFO  c.h.n.t.n.NonBlockingIOThreadingModel - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] TcpIpConnectionManager configured with Non Blocking IO-threading model: 3 input threads and 3 output threads
00:07:28.852 [restartedMain] INFO  c.h.cluster.impl.MulticastJoiner - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] 


Members [1] {
	Member [192.168.137.32]:5701 this
}

00:07:29.001 [restartedMain] INFO  com.hazelcast.core.LifecycleService - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Address[192.168.137.32]:5701 is STARTED
00:07:32.631 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service Tomcat
00:07:32.633 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.6
00:07:36.208 [localhost-startStop-1] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
00:07:36.238 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
00:08:17.708 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
00:08:17.840 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler [http-nio-8080]
00:08:17.843 [restartedMain] INFO  o.a.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
00:08:18.156 [restartedMain] INFO  com.gadeksystems.banking.Application - Started Application in 71.781 seconds (JVM running for 74.458)
00:09:01.787 [restartedMain] INFO  com.gadeksystems.banking.Application - Starting Application on DESKTOP-AAPORDU with PID 11816 (D:\Spring-Boot-Apps\United_Microfinance-Gad\target\classes started by Nyame Tease in D:\Spring-Boot-Apps\United_Microfinance-Gad)
00:09:01.787 [restartedMain] INFO  com.gadeksystems.banking.Application - The following profiles are active: member
00:09:10.034 [restartedMain] INFO  c.hazelcast.config.XmlConfigLocator - Loading 'hazelcast.xml' from classpath.
00:09:10.125 [restartedMain] WARN  c.h.config.AbstractXmlConfigHelper - Name of the hazelcast schema location incorrect using default
00:09:10.355 [restartedMain] INFO  c.h.instance.DefaultAddressPicker - [LOCAL] [bootifulcluster] [3.6.7] Prefer IPv4 stack is true.
00:09:10.513 [restartedMain] INFO  c.h.instance.DefaultAddressPicker - [LOCAL] [bootifulcluster] [3.6.7] Picked Address[192.168.137.32]:5701, using socket ServerSocket[addr=/0:0:0:0:0:0:0:0,localport=5701], bind any local is true
00:09:10.519 [restartedMain] INFO  com.hazelcast.system - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Hazelcast 3.6.7 (20161208 - 3eec5a1) starting at Address[192.168.137.32]:5701
00:09:10.522 [restartedMain] INFO  com.hazelcast.system - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Copyright (c) 2008-2016, Hazelcast, Inc. All Rights Reserved.
00:09:10.523 [restartedMain] INFO  com.hazelcast.system - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Configured Hazelcast Serialization version : 1
00:09:10.621 [restartedMain] INFO  com.hazelcast.spi.OperationService - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Backpressure is disabled
00:09:10.628 [restartedMain] INFO  c.h.s.i.o.c.ClassicOperationExecutor - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Starting with 2 generic operation threads and 4 partition operation threads.
00:09:10.993 [restartedMain] INFO  com.hazelcast.instance.Node - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Creating MulticastJoiner
00:09:10.994 [restartedMain] INFO  com.hazelcast.core.LifecycleService - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Address[192.168.137.32]:5701 is STARTING
00:09:11.011 [restartedMain] INFO  c.h.n.t.n.NonBlockingIOThreadingModel - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] TcpIpConnectionManager configured with Non Blocking IO-threading model: 3 input threads and 3 output threads
00:09:13.250 [restartedMain] INFO  c.h.cluster.impl.MulticastJoiner - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] 


Members [1] {
	Member [192.168.137.32]:5701 this
}

00:09:13.257 [restartedMain] INFO  com.hazelcast.core.LifecycleService - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Address[192.168.137.32]:5701 is STARTED
00:09:14.685 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service Tomcat
00:09:14.687 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.6
00:09:16.781 [localhost-startStop-1] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
00:09:16.807 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
00:09:27.519 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
00:09:27.528 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler [http-nio-8080]
00:09:27.534 [restartedMain] INFO  o.a.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
00:09:27.662 [restartedMain] INFO  com.gadeksystems.banking.Application - Started Application in 26.282 seconds (JVM running for 143.964)
00:09:28.013 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
00:10:01.543 [http-nio-8080-exec-2] INFO  c.g.b.controller.CustomerController - Message at INFO level from CustomerService.create() was called
00:12:32.092 [restartedMain] INFO  com.gadeksystems.banking.Application - Starting Application on DESKTOP-AAPORDU with PID 11816 (D:\Spring-Boot-Apps\United_Microfinance-Gad\target\classes started by Nyame Tease in D:\Spring-Boot-Apps\United_Microfinance-Gad)
00:12:32.093 [restartedMain] INFO  com.gadeksystems.banking.Application - The following profiles are active: app
00:12:47.298 [restartedMain] INFO  c.hazelcast.config.XmlConfigLocator - Loading 'hazelcast.xml' from classpath.
00:12:47.348 [restartedMain] WARN  c.h.config.AbstractXmlConfigHelper - Name of the hazelcast schema location incorrect using default
00:12:47.591 [restartedMain] INFO  c.h.instance.DefaultAddressPicker - [LOCAL] [bootifulcluster] [3.6.7] Prefer IPv4 stack is true.
00:12:47.769 [restartedMain] INFO  c.h.instance.DefaultAddressPicker - [LOCAL] [bootifulcluster] [3.6.7] Picked Address[192.168.137.32]:5701, using socket ServerSocket[addr=/0:0:0:0:0:0:0:0,localport=5701], bind any local is true
00:12:47.773 [restartedMain] INFO  com.hazelcast.system - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Hazelcast 3.6.7 (20161208 - 3eec5a1) starting at Address[192.168.137.32]:5701
00:12:47.773 [restartedMain] INFO  com.hazelcast.system - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Copyright (c) 2008-2016, Hazelcast, Inc. All Rights Reserved.
00:12:47.773 [restartedMain] INFO  com.hazelcast.system - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Configured Hazelcast Serialization version : 1
00:12:47.963 [restartedMain] INFO  com.hazelcast.spi.OperationService - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Backpressure is disabled
00:12:47.969 [restartedMain] INFO  c.h.s.i.o.c.ClassicOperationExecutor - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Starting with 2 generic operation threads and 4 partition operation threads.
00:12:48.305 [restartedMain] INFO  com.hazelcast.instance.Node - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Creating MulticastJoiner
